acrobatics,"n. 杂技, 杂技表演"
acrobat,"n. 表演特技者, 杂技演员"
trouper,"n. 剧团的团员, 有经验的演员, 老演员"
acrobatic theatre,无
acrobatic art,无
modern acrobatics,无
folk acrobatics,无
acrobatic competition,无
acrobatic festival,无
acrobatic troupe,无
daredevil,"n. 铤而走险的人, 蛮勇的人
a. 蛮勇的, 不怕死的"
skydiving,n. 〈美俚〉尽量延缓张伞的跳伞运动
dangerous,"adj. 危险的
危险地"
parachute,"n. 降落伞
vi. 跳伞"
timid,"a. 胆小的, 羞怯的"
behavior,"n. 行为, 举止
[医] 行为"
thrilling,"a. 毛骨悚然的, 令人兴奋的, 令人发抖的"
adventurous person,无
risk-takers,"敢于冒险者
风险承担者"
hot-air balloon,[网络] 热气球；热气球之旅；热气球旅行
sky diver,跳伞者
bungee jumping, 蹦极跳
hang-gliding,"n. 悬挂式滑翔, 乘风滑翔"
extreme game,无
car racing,[网络] 赛车；飙车；赛车玩家
The Guinness Book of World Records,无
take risks,"冒险,担风险"
afraid of height,无
seek thrills,无
cause danger,无
have more curiosity,无
give up life for thrills,无
cater to the tastes of some TV viewers,无
gears or facilities,无
automobile,n. 汽车
diamond necklace,钻石项链
make a deep impression,无
remember the brand,无
non-profitable ads,无
increase sales of products,无
new brand,[网络] 新品牌；新品牌策略；新进品牌
improve reputation,无
non-profitable,"不盈利的
非盈利性的"
follow social norms,无
mislead consumers,无
focus of ads,无
ruin the credit,无
symbol of high quality,无
commercial advertisement,商业广告
classified advertisement,分类广告
supplement,"vt. 增补，补充
n. 增补，补充；补充物；增刊，副刊"
advertiser,"n. 做广告者, 广告客户
[经] 广告商, 广告者"
media,"n. 媒体
[计] 媒质"
poster,"n. 海报, 招贴, 驿马"
billboard,"[经] 广告牌, 揭示牌"
commercial,"a. 商业的, 商用的, 商品化的
n. 商业广告节目"
inset,"vt. 嵌入
n. 插入物, 插页, 插图"
lost & found,无
sign,"n. 符号, 招牌, 征兆, 正负号, 手势
vt. 签名, 打手势表达
vi. 签名
[计] 正负号; 符号; 符号字符"
advertising,"n. 广告业, 广告
a. 广告的
[计] 发广告"
alternative,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
[计] 选择对象"
catalog,"n. 目录, 大学概况手册
vt. 编目录
[计] 目录; 编目"
brochure,"n. 小册子, 小册"
flyer,"n. 飞鸟, 飞行物, 飞行员, 快车, 传单, 飞跳
[经] 投机买卖, 孤注一掷, (广告)传单"
promo,n. 商品广告；商品推销
trailer,"n. 追踪者, 拖车
[电] 拖车"
publicity,"n. 名声, 宣传, 公开场合
[经] 宣传, 广告"
slogan,"n. 呐喊声, 标语, 口号"
advertise,"vt. 做广告, 通知, 公布
vi. 做广告"
promote,"vt. 促进, 晋升, 创办, 推销
[经] 促进, 推广, 推销"
food,"n. 食物, 养料
[医] 食物, 食品"
snack,"n. 小吃, 点心, 快餐
vi. 吃零食, 吃快餐"
wine,"n. 葡萄酒, 果酒, 暗红色
v. (请)喝酒"
alcohol,"n. 酒精, 酒
[化] 醇; 乙醇; 酒精"
automobile,n. 汽车
TV,"n. 电视；电视机
abbr. (=television)
[网络] 电视(television)；电视剧；快门优先"
Internet,[网络] 互联网；因特网；网际网路
outdoor,[网络] 户外做法；大型室外全天候音柱；户外活动
magazine,"n. 杂志, 仓库, 弹盒, 胶卷盒
[计] 卡片箱, 介质装卸程序"
newspaper,报纸
price,"n. 价格, 代价, 价值
vt. 定...的价格"
quality,"n. 品质, 特性, 才能, 质量
a. 优质的
[计] 品质"
effect,"n. 结果, 影响, 效果, 印象
vt. 实行, 引起, 完成
[计] 效果"
sneakers,n. 胶底运动鞋（sneaker的复数形式）
computer,"n. 电脑, 电子计算机
[计] 计算机"
appliance,"n. 器械, 用具, 应用
[医] 矫正器; 器"
manufacture,"n. 产品, 制造
vt. 制造, 假造
vi. 制造"
skywriting,na. (飞机放烟飞成的)天空文字；空中广告
telemarketing,"n. 电话推销, 电话销售"
business section,"un. 商业区
[网络] 商务科；业务组；商业区行车"
editorial page,言论版
science and technology page,无
sports section,体育栏
amusement page,无
news hole,"na. 〈美〉新闻窗口
[网络] 新闻版面；新闻洞；版面限制"
financial page,无
city news,n. 社会新闻
advertisement page,无
daily circulation,无
news vendor,卖报人
press conference,"记者招待会
[经] 记者招待会"
news conference,记者招待会
publish the news,无
news blockout,无
liberty of speech,[法] 言论自由
press coverage,(对事件等的)新闻报道
gather news,无
advertising agency,"[经] 广告公司, 广告社"
advertising agent,[经] 广告代(经)理人
advertise on TV,无
public service advertising,公用服务广告
attention-getter,[网络] 广告妙语；注意力吸引灯；那些令人沉醉的话语
advertising film,无
neon-light advertisement,无
outdoor advertising,[经] 户外广告
junk mail,邮寄宣传品
glossy advertisement,无
full-page advertisement,无
advertisement column,na. 广告栏
matrimonial notice,无
marriage announcement,无
want ads,"n. 找人的广告, 招聘广告; <口>招聘广告, 征求广告( want ad的名词复数 )"
vacant,"a. 空的, 空白的, 空虚的, 空闲的, 茫然的, 空缺的
[法] 空的, 空虚的, 闲暇的"
help wanted,[网络] 招聘员工；帮助通缉；救济招聘
publishing house,n. 出版社; 出版公司
visitors' book,n. 来宾登记簿
advertising campaign,[经] 广告活动
outdoor billboards,无
rolling boards,无
point-of-purchase media,消费店头媒体
parking meter,[法] 停车记时器
transit ads,无
station posters,无
consumer credit card,无
product advertisement,无
nutritional food,无
direct mail,"n. 直接邮件, 直接邮寄广告"
broadcast media,电波媒介(指收音机、电视机等，与印刷媒体相应)[亦作electronic media]
print media, 平面媒体
electronic media,电子宣传工具(指广播、电视)
increase the sales,无
promote the products,无
make a profit,"获利,得益,赚钱"
have a rest, 休息一下; 歇
provide information about products,无
make people sick,无
exaggerate the functions,无
misguide the consumers,无
not suitable for children to watch,无
cause the negative mood of audience,无
high cost, 高成本
buy the products advertised,无
buy what they don't need,无
update their belongings,无
benefits of consumers,无
functions of products,无
satisfy the demands of children,无
buy what their children like,无
make their children more intelligent and healthier,无
make a wise choice,无
high quality,[经] 高级品质
sports facilities, 体育设施
famous brands,无
quality of product,[化] 产品质量
pursue luxuries,无
theory,"n. 理论, 学说, 原理, 意见, 推测
[化] 理论"
talent,"n. 天才, 才能, 有才干的人, 天资"
art gallery,"美术馆,画廊"
draw the sketch,无
motivate students' interest,无
full of imagination,无
observe objects,无
gain good value,无
symbols of social status,无
decorate rooms with painting,无
flowers or landscape,无
represent social status,无
western paintings,无
different cultures and styles,无
part of education,无
identify objects in nature,无
specific nature of flowers,无
gifted people,有天赋的人
have better sense of beauty,无
have the skill of observation,无
forget their troubles and worries,无
have the peace of mind,无
theoretical knowledge,"un. 理论知识
[网络] 理论性知识；理论性的知识；理论型知识"
practical skill,实际技能
beach,n. 海滩
beachwear,n. 海滩装
boardwalk,木板人行道
beachside hotel,无
beach bag,(装游泳衣、浴巾等用的)海滨游泳袋
bathing beach,n. 海水浴场
beach umbrella,n. 〈美〉(海滨或花园用的)遮阳伞
sparrow,n. 麻雀
swallow,"n. 燕子, 吞咽, 喉
vt. 咽, 淹没, 吞没, 耗尽, 轻信, 忍受, 抑制
vi. 吞下, 咽下"
seabird,n. 海鸟
lovebird,[网络] 爱情鸟；爱之鸟；情侣鹦鹉
crane,"n. 起重机；【机】吊车；升降机；类似起重机的装置
v. 伸长(脖子)以便看得更清楚；以起重机举(起)
[网络] 鹤；仙鹤；摄影升降机"
songbird,鸣禽
rare birds,[网络] 珍禽假意；稀鸟；不速之客
wild duck,n. 野鸭; 凫
protect the environment, [体]保护环境
illegal to take their eggs,无
barbecue,"n. 烤肉
vt. 烤肉, 烧烤"
memorable,"a. 值得纪念的, 难忘的"
anniversary,n. 周年纪念
birthday celebration,无
celebrate birthday,无
baked prawns,无
shells,n. 贝壳（shell的复数）
bonfire party,无
tell stories,无
prepare a birthday cake,无
make a wish,"欲望, 企图, 幻想"
blow the candles,无
share the cake,无
sing and dance,无
have a get-together,无
receive gifts,无
family ceremony,无
special parties,无
important occasions,无
express our concern and emotions,无
chat,"n. 闲谈
vi. 闲谈, 聊天"
video,"n. 影像, 电视
a. 图像的, 电视的"
farewell party,n. 惜别会
recall precious memory,无
play cards,"na. 打纸牌
[网络] 打牌；打扑克；玩牌"
sing songs,n. 歌咏
profuse dinner,无
arrange the party,无
drinks and snacks,无
send invitations,无
prepare activities,无
formal and informal party,无
feel relaxed,无
business negotiation,交易磋商
dine out,外出吃饭
stereo system,n. 立体音响系统
record the whole process,无
draw attention,引起注意
play games, 敷衍塞责
trend,"n. 趋势, 倾向, 走向
vi. 倾向, 转向
[计] 趋势"
individuality,"n. 个性, 个人, 特征"
negative,"n. 否定, 否定语, 负数, 底片
a. 否定的, 消极的, 负的, 阴性的
n. 负数, 负值
[计] 负数, 负值"
hostile,"a. 敌人的, 怀敌意的, 敌对的
n. 敌对分子"
aggressive,"a. 侵略的, 挑畔的, 进取的
[法] 侵略的, 爱挑衅的, 行为过火的"
imitate,"vt. 模仿, 效法, 冒充, 仿造"
accessories,n. 辅助程序；[计]附件（accessory的复数形式）
fable,"n. 寓言, 神话, 谎言
vi. 虚构, 作寓言"
entertainment,"n. 娱乐, 款待, 娱乐表演"
cartoon,"n. 卡通画, 漫画
v. 画漫画"
heroic deed,无
follow suit,"跟着做, 跟着出同花色的牌"
watch cartoons,无
get education,无
life philosophy,[网络] 人生哲学；生活哲学；生命哲学
successful businessmen,无
traditional virtues, 传统美德
negative feelings,无
sports field,"un. 体育设施
[网络] 运动场；操场；体育场"
entertainment field,无
imitate their idols,无
buy the clothes,无
entertainment ways,无
leisure activities,[法] 业余活动
make a deep impression,无
comic books,"na. 〈美〉连环漫画杂志
[网络] 漫画书；连环漫画书；连环画"
picture books,"na. 图画书
[网络] 绘本；图画故事书；书籍介於图画书"
retell the story,无
widen their sights,无
nature and science,无
have patience, 耐烦
category,"n. 种类, 类项
[计] 分类"
traditional way,无
sore eyes,眼痛
share ideas,无
entertainment,"n. 娱乐, 款待, 娱乐表演"
Olympic-sized swimming pool,无
tennis court,网球场
basketball field,篮球场
football pitch,[网络] 足球场；草坪足球场；系足球场
resting area,休息区
foot massage, 足部按摩
body shape,体型
leisure activities,[法] 业余活动
physical exercises,n. 体操
go rock-climbing,无
shopping mall,n. 大型购物中心
stressful life,无
bridge,"n. 桥, 舰桥, 桥梁, 桥牌
vt. 架桥于, 跨越
[计] 桥, 网桥, 桥接器"
church,"n. 教堂, 礼拜, 教会
vt. 使人接受宗教仪式
a. 教堂的"
prison,"n. 监狱, 监禁, 拘留所
vt. 监禁"
structure,"n. 结构；构造；体系；结构体
v. 使形成体系；系统安排；精心组织
[网络] 建筑物；组织结构；市场结构"
skyscraper,"n. 摩天大楼
[网络] 擎天柱；擎天柱广告；搔天之塔"
bungalow,n. 平房
villa,n. 别墅
duplex,"a. 双的, 复式的, 双联的, 二重的, 二倍的
[计] 双重的; 双工操作; 双工的; 双的; 双向的"
landmark,"[法] 地界, 界标"
cottage,"n. 小屋, 茅舍"
bedsit, 租用起卧室；卧室兼起居室
brick,"n. 砖块, 积木
a. 用砖做的
vt. 用砖造, 用砖砌"
concrete,"n. 凝结物, 混凝土
a. 具体的, 实在的, 混凝土的
v. (使)凝结, 用混凝土浇筑"
cement,"n. 水泥, 胶结剂
vt. 胶合, 用水泥涂
vi. 黏牢"
clay,"n. 泥土, 肉体, 黏土
[化] 粘土"
hay,"n. 干草
vt. 制干草, 供给干草
vi. 晒干草"
spacious,"a. 广大的, 宽广的"
crowded,"a. 拥挤的, 塞满的"
suburb,"n. 市郊住宅区, 郊区, 边缘"
fence,"n. 围墙, 栅栏, 买卖赃物的人, 剑术
vt. 用篱笆围住, 练习剑术, 防护
vi. 击剑, 搪塞"
garage,"n. 车库, 汽车修理厂, 机库
vt. 把车送入修车场"
path,n. 道路；小路；轨道
balcony,"n. 阳台, 戏院楼厅"
flat,"a. 平坦的, 单调的, 无力的, 浅的, 萧条的, 干脆的, 无聊的
adv. 平直地, 断然地
n. 扁平物, 平面, 平地, 平原, 平板车
v. (使)变平"
apartment,n. 公寓；房间
building,"n. 建筑；建筑物
v. 建筑；建立；增加（build的ing形式）"
mud,[网络] 书背作准给他上密西根
downtown,"[经] 城市中心, 商业区"
statue,"vt. 以雕像装饰
n. 雕像"
registration,"n. 登记, 挂号, 注册
[计] 登记; 定位; 对齐; 记录"
enrollment,"n. 登记, 注册, 入伍
[经] 登记, 注册"
gym,"n. +体育馆, 体育训练, 体育课, 体操"
theater,"n. 戏院, 电影院, 剧场, 全体观众, 戏剧, 戏剧效果, 阶梯式讲堂, 场所"
security,"n. 安全, 安全性, 防护物, 保安, 可靠性, 担保人, 抵押品, 保证金
[计] 安全性, 保密性, 安全检查程序"
reputation,"n. 名誉, 名声, 声望
[法] 名声, 名誉, 公认证据"
modern building, [法]现代建筑
office building,"办公楼
[化] 办公楼"
interior facilities,无
interior decoration, 内部装饰物
city center, 市中心
semi-detached house,[网络] 半独立房屋；半独立屋；半独立住宅
detached house, 独立式住宅; 单门独户
terraced house, <英>排屋（互相连接的一排房屋之一幢）
front garden,n. 前花园
front doorbell,无
ancient buildings of famous people,无
historical sites,"un. 〔考古〕古迹
[网络] 历史遗址；历史古迹；历史遗迹"
historical events,[网络] 历史事件；重大历史事件；历史性事件
lifestyle of ancestors,无
daily necessities,生活必需品
old generations,无
buildings in different styles,无
remains of history,无
appreciate art of construction,无
preserve ancient buildings,无
later generations,无
part of history,无
places of interest, 名胜古迹
go sightseeing, 游览；游玩；观光
remember the history,无
recall the past,无
reminder of history,无
creativity and imagination,无
symbols of history,无
places for recreation,无
landmark building,[网络] 标志性建筑；地标建筑；地标性建筑
administration building,政建筑物；行政大楼
main hall, [法]正厅
calligraphies of famous people,无
anecdotes and mottos,无
multi-media classrooms,无
surf the internet, 网上冲浪
daily routines,无
OHP,"abbr. overhead projection 高架发射, 顶置防护; oxygen at high pressure 高压氧气"
qualified teachers, 百分百合格师资
study aids,无
teaching aids,教具
sports facilities, 体育设施
appearance of the building,无
standard of teaching,无
various activities,无
local community,区域群落
local newspaper,地方报
video surveillance,"视频监控
视频监视"
monitor the visitors,无
dynamic technology,[网络] 技术动态；科技动态；动态科技
have a good foundation,无
resist the earthquake,无
modern building, [法]现代建筑
use solar energy,无
campground,露营场地
camping,"n. 野营, 露营"
camper,n. 露营者
picnic,"n. 野餐, 远足, 愉快的经历
vi. 去野餐, 远足"
bonfire,"n. 大篝火, 营火"
backpack, 背包
tent,伸
public campground,公众露营
commercial campground,无
sleeping bag,睡袋
ground cloth, = groundsheet
regulation,"n. 规则, 管理, 调整
[计] 调整; 规章; 规则; 调节"
breadwinner,n. 负担家计的人；养家糊口的人
dominant,"a. 占优势的, 支配的
[医] 优性的, 显性的"
selfish,"a. 自私的, 利己主义的, 自我中心的"
ancestor,"n. 祖先, 祖宗"
custom,"n. 习惯, 风俗, 海关, 自定义
a. 定制的
[计] 定制; 自定义"
belief,"n. 信念, 相信, 信仰"
tradition,"n. 传说, 传统, 交付
[法] 传统, 惯例, 移交"
have delicious food and snacks,无
have what they want,无
have pressure,无
worry about their future,无
have a lot of toys,无
enjoy their childhood,无
learn all kinds of skills,无
try to get good marks at schools,无
have homework to do,无
focus on the theoretical knowledge,无
too monotonous,无
teacher-centered,[网络] 以教师为中心；以老师为中心；以教师为中心的
not qualified,无
quality of education,教育品质
set an example,以身作则
material life,物质生活
affect children's happiness,无
compare them with other children,无
lay a solid foundation,无
practical skills,[网络] 实用技能；实用技巧；实践技能
set aside,"na. 搁置；拨出；驳回
[网络] 留出；取消；挑出，留出"
responsibility of parents,无
family history, 家庭史；家庭历；家史；家族来历
past generations,无
family unit, [医]家系单位
from generation to generation,世世代代
circus,"n. 马戏团, 马戏, 竞技场"
audience,"n. 听众, 观众, 读者
[法] 听讼, 观众, 听众"
spectator,"n. 观众, 目击者, 旁观者"
spotlight, 聚光
bandstand,n. 音乐台；演奏台
magic,"n. 魔术, 魔法
a. 魔术的, 有魔力的, 不可思议的"
magician,"n. 魔术家, 幻术家, 术士"
clown,"n. 小丑, 乡下人"
spacious,"a. 广大的, 宽广的"
attractive,"a. 吸引人的, 有魅力的
[法] 有吸引力的, 有迷惑力的"
product,[网络] 产品；产品创新
refund,[网络] 退票
commodity,"n. 农产品, 商品, 有用的物品
[经] 商品, 货物, 日用品"
guarantee,"n. 担保, 抵押品, 保证书
vt. 保证, 担保"
feature,"n. 面孔的一部分(如眼、口等), 特征, 容貌, 特色, 特写
vt. 是...的特色, 特写, 放映
vi. 起重要作用
[计] 特性"
purchaser,"n. 买方, 购买者
[经] 买主, 购买人"
security,"n. 安全, 安全性, 防护物, 保安, 可靠性, 担保人, 抵押品, 保证金
[计] 安全性, 保密性, 安全检查程序"
circus arena,无
travelling circus,巡回马戏团
spectators' seats,无
acrobatics fan,无
fire-eater,吞火者
comic performance,无
acrobatic feat,un. 飞行特技
perform acrobatics,无
animal trainer,[网络] 驯兽师；一位驯兽师；动物训练者
dog trainer,无
animal act,无
monkey show,无
knife-thrower,[网络] 飞刀好手
metropolis,"n. 大都市, 重要中心, 首府
[医] 产地, 生地"
capital,"n. 首都, 大写字母, 资本
a. 首都的, 重要的"
landscape,地景
enchanting,"a. 迷人的, 妩媚的, 迷惑人的"
remains,"n. 剩余物, 废墟, 残余
[法] 遗体, 尸体, 遗骸"
tourist,"n. 观光客, 旅行者
a. 旅游的"
peaceful,"a. 平静的, 和平的, 和平时期的, 爱好和平的, 喜爱安静的
[法] 和平的, 爱好和平的, 和平时期的"
ancient capital,古都
municipality under the central government,无
coastal city,沿海城市
long history, 古老的历史
modern city, 现代城市
provincial capital, 省会
ancient city, 古城
historical city,[网络] 历史城市；历史古城；历史的城市图片
remote city,无
tourist city, 观光域市
ancient building, 古建筑
local people,地居民
commercial center,[经] 商业中心
cultural sites,无
exquisite sculpture,无
magnificent building,无
scenic spots, 景点
local food,[网络] 当地食品；地方小吃；食物本地化
local scenery,无
natural landscape,天然景观
happy memories,无
spicy food,辛辣食物
hot pot,n. 火锅
gourmet,n. 美食家
ferry,"n. 渡船, 渡口
[法] 摆渡营业权, 轮渡"
signpost,"标志柱[杆],路标"
economy,[网络] 经济；电子经济
culture,"n. 文化, 修养, 耕种
vt. 耕种, 培养"
transport,[网络] 运输
population,"n. 人口, 人口数
[化] 群体; 总体"
geographical location,地理位置
shipping goods,运输货物
traditional food,传统食品
splendid scenery,无
broadened street,无
local tourism,无
city planning,城市规划
migrating population,无
historical sites,"un. 〔考古〕古迹
[网络] 历史遗址；历史古迹；历史遗迹"
natural harbor,天然港湾
artificial harbor,人工港
free port,"[经] 自由港, 无税港口"
coastal port, 海岸港
commercial port,"商港,商埠"
jewelry,"n. 珠宝, 珠宝类"
necklace,n. 项链
bracelet,"n. 手镯
[医] 手镯, 腕带, 腕纹(掌侧横列腕部的线纹)"
earrings,耳鸣
gold,"n. 黄金, 钱财, 金块, 金色, 宝贵
a. 金的, 似金的, 金色的, 金制的"
diamond,"n. 钻石, 菱形
[计] 菱形"
bead,"n. 珠子, 滴
vt. 用珠装饰
vi. 形成珠
[计] 珠"
brooch,"n. 胸针, 领针"
bangle,"n. 手镯, 脚镯"
crystal,"n. 水晶, 水晶装饰品, 结晶
a. 水晶的, 水晶一样的, 透明的"
fashion,na. comb. F. 加在名词之后
fashionable,"a. 时髦的, 上流社会的, 流行的"
suit,"n. 套装, 诉讼, 请求, 起诉, 套, 组
vt. 适合, 使适应
vi. 合适, 相称"
trend,"n. 趋势, 倾向, 走向
vi. 倾向, 转向
[计] 趋势"
stylish,"a. 现代风格的, 流行的, 潇洒的"
boutique,n. 专卖流行衣服的小商店
unique,"a. 独一无二的, 独特的, 稀罕的"
personality,"n. 个性, 人格, (团体、地方、国家)特有特性, 名人
[医] 人格; 个性"
interest,"n. 兴趣, 嗜好, 利息, 利益, 爱好, 趣味, 势力
vt. 使感兴趣, 与...有关系"
uniform,"n. 制服
a. 统一的, 一律的, 始终如一的"
occupation,"n. 职业, 占有, 占有期, 占领, 占领军
[经] 占有, 占用, 职业"
individuality,"n. 个性, 个人, 特征"
casual wear,便服，休闲服
comfortable clothes,无
traditional costume, 传统服饰
out-going,a. 外向的
T-shirt,"短袖运动衫,短袖汗衫"
underclothes,[网络] 内衣
button,"n. 按钮；钮扣
vt. 扣住；扣紧；在…上装钮扣
vi. 扣住；装有钮扣；扣上钮扣
n. (Button)人名；(英)巴顿"
