violin,n. 小提琴
play the violin,叹苦经想得到人们的同情
do eye exercises,无
play sports, 参加体育运动或比赛
learn,vt. 学习；认识到；得知
learn English,"na. 学英语
[网络] 学习英语；学习英文；与众不同学英语"
have a rest, 休息一下; 歇
take out the book,无
matter,"n. 事件, 物质, 原因, 素材, 实体, 重要
vi. 有关系"
afraid,"a. 害怕的, 恐怕的, 遗憾的"
right now,"na. 目前；刚刚
[网络] 现在；刚才；就是现在"
always,"adv. 总是, 始终"
half,"n. 一半；（比赛、音乐会等的）半场；（啤酒等饮料的）半品脱
adv. 半；半数；绝大部分（时间、乐趣、麻烦等）；到一半程度
adj. 一半的；一部分的；不完全的
[网络] 半场(half-court)；半个；二分之一"
past,"n. 过去；昔日；过去的事情；（某人）过去的经历（或事业）
prep. 超过；晚于；在…之后；在另一边
adv. 经过；逝去；从一侧到另一侧
adj. 过去的；昔日的；刚过去的；刚结束的
v. “pass”的过去分词
[网络] 越过；往事；过去式"
brush,"n. 刷子, 毛笔, 争吵
vt. 刷
vi. 擦过, 掠过
[计] 电刷"
tooth,"n. 牙齿, 齿状物, 爱好
vt. 装以齿, 将...切成齿状
vi. 啮合"
usually,"adv. 通常, 大抵"
hour,"n. 小时, 钟头, 时间, ...点钟, 课时"
healthy,"a. 健康的, 有益健康的, 卫生的
[医] 健康的"
walk,"n. 走, 散步, 步行, 行走的路程, 竞走, 散步场所
vi. 走路, 步行, 处世
vt. 走过, 遛, 使走, 护送...走"
take a walk,散步
play ping-pong,[网络] 打乒乓球
play tennis,[网络] 打网球；玩网球；打球
boat,"n. 船
vi. 乘船
vt. 以船运"
go boating, 划船；泛舟
go skating,去滑冰
go shopping,去买东西
a lot of,许多的
how often, 多久，多常
twice,"adv. 两次, 两倍"
once,"adv. 一次, 曾经, 一旦
conj. 一旦, 一经
n. 一次
a. 从前的"
study,"n. 学习, 研究, 学科, 论文, 求学, 书房, 试作
vt. 学习, 读书, 研究, 考虑, 计划
vi. 学习, 思索"
do well in,"成绩好,…做得好"
care for,"喜欢, 照顾, 为...操心, 尊重"
earth,"n. 地球；地表, 陆地；尘事, 俗事；兽穴
vt. 把（电线）[电] 接地；盖（土）；追赶入洞穴
vi. 躲进地洞"
pick,"n. 精选, 选择, 掘, 精华, 牙签, 鹤嘴锄
v. 摘, 掘, 凿, 挖, 挑选
[计] 拾取"
pick flowers,攀折花木
cut down,"na. 砍倒；削减；减价；夺去…活动力
[网络] 减少；缩短；降低"
dirty,"a. 肮脏的, 卑鄙的
vt. 弄脏
vi. 变脏"
make the air dirty,无
waste,"n. 浪费, 废物, 损耗, 消耗, 荒地, 垃圾, 地面风化物
a. 废弃的, 荒芜的, 多余的
vt. 浪费, 消耗, 使荒芜
vi. 浪费, 消耗, 变消瘦"
drive,"n. 驾车, 快车道, 推进力, 驱动, 动力, 击球, 驱动器
vt. 开车, 驱使, 推动, 驾驶
vi. 开车, 猛击, 飞跑
[计] 驱动器"
drive a car, 开车; 开汽车
more,"n. 更多
a. 多的, 程度较大的, 更大的
adv. 多, 更多, 进一步
[计] DOS外部命令:显示满屏后自动暂停, 并显示:""--More--"", 按任意键继续"
have to,"v. 必须；要；一定；应当
[网络] 不得不；需要；只索"
World Car Free Day,无
